R2,MAE,RMSE,MAPE,n,model,target,horizon,infra,n_train
-39.6151,22.5164,22.7814,97.51,83074,Persistence,Measured T,11min,ALL,119253
-2.8494,6.3069,7.0134,26.06,83074,HistMean,Measured T,11min,ALL,119253
0.9858,0.2583,0.4266,1.09,83074,LightGBM,Measured T,11min,ALL,119253
0.9487,0.2475,0.4189,1.03,8081,LightGBM,Measured T,11min,Brick First Floor,119253
0.9713,0.2688,0.415,1.08,13011,LightGBM,Measured T,11min,Brick Second Floor,119253
0.9798,0.2007,0.3058,0.82,16741,LightGBM,Measured T,11min,Brick Single Story,119253
0.9895,0.285,0.4765,1.26,16396,LightGBM,Measured T,11min,Container No Insulation,119253
0.983,0.2943,0.5033,1.18,7683,LightGBM,Measured T,11min,Container With Insulation,119253
0.9877,0.2678,0.4467,1.15,21162,LightGBM,Measured T,11min,Mobile/Prefab,119253
-39.6892,22.5192,22.7839,97.5,82994,Persistence,Measured T,33min,ALL,119249
-2.8594,6.3107,7.0169,26.07,82994,HistMean,Measured T,33min,ALL,119249
0.9367,0.6157,0.8988,2.54,82994,LightGBM,Measured T,33min,ALL,119249
0.8137,0.5841,0.7981,2.39,8067,LightGBM,Measured T,33min,Brick First Floor,119249
0.8646,0.6394,0.9004,2.55,12997,LightGBM,Measured T,33min,Brick Second Floor,119249
0.8971,0.5108,0.6893,2.05,16725,LightGBM,Measured T,33min,Brick Single Story,119249
0.9556,0.6616,0.9792,2.91,16380,LightGBM,Measured T,33min,Container No Insulation,119249
0.9084,0.8026,1.165,3.16,7675,LightGBM,Measured T,33min,Container With Insulation,119249
0.9496,0.5927,0.9046,2.48,21150,LightGBM,Measured T,33min,Mobile/Prefab,119249
-39.8033,22.523,22.7875,97.5,82872,Persistence,Measured T,1h,ALL,119243
-2.8746,6.3159,7.022,26.09,82872,HistMean,Measured T,1h,ALL,119243
0.8788,0.8666,1.2419,3.61,82872,LightGBM,Measured T,1h,ALL,119243
0.696,0.7325,1.0186,2.98,8046,LightGBM,Measured T,1h,Brick First Floor,119243
0.7149,0.917,1.3046,3.65,12976,LightGBM,Measured T,1h,Brick Second Floor,119243
0.8281,0.6437,0.8894,2.59,16701,LightGBM,Measured T,1h,Brick Single Story,119243
0.9089,1.0078,1.4004,4.48,16356,LightGBM,Measured T,1h,Container No Insulation,119243
0.81,1.2081,1.674,4.79,7663,LightGBM,Measured T,1h,Container With Insulation,119243
0.9107,0.8299,1.204,3.53,21130,LightGBM,Measured T,1h,Mobile/Prefab,119243
-40.29,22.5342,22.7984,97.49,82464,Persistence,Measured T,3h,ALL,119223
-2.9322,6.3305,7.0356,26.12,82464,HistMean,Measured T,3h,ALL,119223
0.9057,30.3153,72.9092,4.87,72002,LinearRegression,Measured CO2,11min,ALL,119171
0.7265,28.4312,67.2883,5.33,8079,LinearRegression,Measured CO2,11min,Brick First Floor,119171
0.8827,28.6822,79.4148,4.25,13011,LinearRegression,Measured CO2,11min,Brick Second Floor,119171
0.8913,24.7609,56.8349,4.29,16740,LinearRegression,Measured CO2,11min,Brick Single Story,119171
0.9421,37.9598,84.1344,5.29,16393,LinearRegression,Measured CO2,11min,Container No Insulation,119171
0.8369,34.8598,90.4604,5.52,4917,LinearRegression,Measured CO2,11min,Container With Insulation,119171
0.7916,28.8994,64.6508,5.18,12862,LinearRegression,Measured CO2,11min,Mobile/Prefab,119171
0.6984,60.8897,130.3718,9.99,71914,LinearRegression,Measured CO2,33min,ALL,119154
0.39,50.9203,100.4376,9.83,8061,LinearRegression,Measured CO2,33min,Brick First Floor,119154
0.6219,56.4658,142.6316,8.55,12997,LinearRegression,Measured CO2,33min,Brick Second Floor,119154
0.6216,48.821,106.0675,8.49,16722,LinearRegression,Measured CO2,33min,Brick Single Story,119154
0.7746,82.7125,165.9608,11.78,16371,LinearRegression,Measured CO2,33min,Container No Insulation,119154
0.5491,74.5404,150.3809,12.36,4911,LinearRegression,Measured CO2,33min,Container With Insulation,119154
0.5091,54.3053,99.2069,10.31,12852,LinearRegression,Measured CO2,33min,Mobile/Prefab,119154
0.5137,83.4559,165.5803,14.07,71781,LinearRegression,Measured CO2,1h,ALL,119129
0.217,66.3723,113.8859,13.22,8034,LinearRegression,Measured CO2,1h,Brick First Floor,119129
0.4062,76.8083,178.8686,12.18,12976,LinearRegression,Measured CO2,1h,Brick Second Floor,119129
